model,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,gradcam_focus_score,gradcam_avg_confidence,final_score
ResNet50,0.83125,0.8417698526601031,0.83125,0.8259899985223609,0.6685295775532722,0.6973732113838196,0.7944979143285432
Basic CNN,0.925625,0.9270204558734818,0.9256250000000001,0.9244313557514474,0.25,0.9869145005941391,0.789545084601158
EfficientNet-B0,0.83625,0.8425914915031536,0.8362499999999999,0.8333015813080284,0.3421838954091072,0.7388977855443954,0.7350780441282443
